id,value,location,sampledate,measure
9287,0,Kannika,26-Jan-98,Atrazine
9290,0,Kannika,26-Jan-98,Macrozoobenthos
9292,0,Kannika,26-Jan-98,Total coliforms
9293,0,Kannika,26-Jan-98,Fecal coliforms
5058,0.08,Chai,31-Jan-98,Total phosphorus
5063,37.9,Chai,31-Jan-98,Chlorides
5064,59.8,Chai,31-Jan-98,Sulphates
5065,0.06,Chai,31-Jan-98,Iron
5066,0,Chai,31-Jan-98,Manganese
5067,0,Chai,31-Jan-98,Zinc
5068,0,Chai,31-Jan-98,Copper
5069,0,Chai,31-Jan-98,Chromium
5070,0,Chai,31-Jan-98,Lead
5071,0,Chai,31-Jan-98,Cadmium
5072,0,Chai,31-Jan-98,Mercury
5073,0,Chai,31-Jan-98,Nickel
5074,0,Chai,31-Jan-98,Arsenic
5075,3.7,Chai,31-Jan-98,Biochemical Oxygen
5076,8.9,Chai,31-Jan-98,Chemical Oxygen Demand (Cr)
5077,9.3,Chai,31-Jan-98,Chemical Oxygen Demand (Mn)
5078,0,Chai,31-Jan-98,AOX
5080,0,Chai,31-Jan-98,Atrazine
5083,0,Chai,31-Jan-98,Macrozoobenthos
5085,0,Chai,31-Jan-98,Total coliforms
5086,0,Chai,31-Jan-98,Fecal coliforms
5542,0.1,Chai,31-Jan-98,Total phosphorus
5547,36.8,Chai,31-Jan-98,Chlorides
5548,55.6,Chai,31-Jan-98,Sulphates
5549,0.04,Chai,31-Jan-98,Iron
5550,0,Chai,31-Jan-98,Manganese
5551,0,Chai,31-Jan-98,Zinc
5552,0,Chai,31-Jan-98,Copper
5553,0,Chai,31-Jan-98,Chromium
5554,0,Chai,31-Jan-98,Lead
5555,0,Chai,31-Jan-98,Cadmium
5556,0,Chai,31-Jan-98,Mercury
5557,0,Chai,31-Jan-98,Nickel
5558,0,Chai,31-Jan-98,Arsenic
5559,2.9,Chai,31-Jan-98,Biochemical Oxygen
5560,8.8,Chai,31-Jan-98,Chemical Oxygen Demand (Cr)
5561,9,Chai,31-Jan-98,Chemical Oxygen Demand (Mn)
5562,0,Chai,31-Jan-98,AOX
5564,0,Chai,31-Jan-98,Atrazine
5567,0,Chai,31-Jan-98,Macrozoobenthos
5569,0,Chai,31-Jan-98,Total coliforms
5570,0,Chai,31-Jan-98,Fecal coliforms
6020,0.08,Chai,31-Jan-98,Total phosphorus
6025,38.3,Chai,31-Jan-98,Chlorides
6026,59.2,Chai,31-Jan-98,Sulphates
6027,0.07,Chai,31-Jan-98,Iron
6028,0,Chai,31-Jan-98,Manganese
6029,0,Chai,31-Jan-98,Zinc
6030,0,Chai,31-Jan-98,Copper
6031,0,Chai,31-Jan-98,Chromium
6032,0,Chai,31-Jan-98,Lead
6033,0,Chai,31-Jan-98,Cadmium
6034,0,Chai,31-Jan-98,Mercury
6035,0,Chai,31-Jan-98,Nickel
6036,0,Chai,31-Jan-98,Arsenic
6037,2.9,Chai,31-Jan-98,Biochemical Oxygen
6038,10,Chai,31-Jan-98,Chemical Oxygen Demand (Cr)
6039,9.7,Chai,31-Jan-98,Chemical Oxygen Demand (Mn)
6040,0,Chai,31-Jan-98,AOX
6042,0,Chai,31-Jan-98,Atrazine
6045,0,Chai,31-Jan-98,Macrozoobenthos
6047,0,Chai,31-Jan-98,Total coliforms
6048,0,Chai,31-Jan-98,Fecal coliforms
2271,0.06,Boonsri,15-Feb-98,Total phosphorus
2276,24.1,Boonsri,15-Feb-98,Chlorides
2277,49.8,Boonsri,15-Feb-98,Sulphates
2278,2.84,Boonsri,15-Feb-98,Iron
2279,0.02,Boonsri,15-Feb-98,Manganese
2280,15,Boonsri,15-Feb-98,Zinc
2281,5,Boonsri,15-Feb-98,Copper
2282,9,Boonsri,15-Feb-98,Chromium
2283,0,Boonsri,15-Feb-98,Lead
2284,0,Boonsri,15-Feb-98,Cadmium
2285,0,Boonsri,15-Feb-98,Mercury
2286,2,Boonsri,15-Feb-98,Nickel
2287,0,Boonsri,15-Feb-98,Arsenic
2288,3.8,Boonsri,15-Feb-98,Biochemical Oxygen
2289,13.4,Boonsri,15-Feb-98,Chemical Oxygen Demand (Cr)
2290,4.7,Boonsri,15-Feb-98,Chemical Oxygen Demand (Mn)
2291,0,Boonsri,15-Feb-98,AOX
2293,0,Boonsri,15-Feb-98,Atrazine
2296,0,Boonsri,15-Feb-98,Macrozoobenthos
2298,0.84,Boonsri,15-Feb-98,Total coliforms
2299,0,Boonsri,15-Feb-98,Fecal coliforms
5097,0.12,Chai,20-Feb-98,Total phosphorus
5102,41.74,Chai,20-Feb-98,Chlorides
5103,61.44,Chai,20-Feb-98,Sulphates
5104,0.1,Chai,20-Feb-98,Iron
5105,0,Chai,20-Feb-98,Manganese
5106,0,Chai,20-Feb-98,Zinc
5107,0,Chai,20-Feb-98,Copper
5108,0,Chai,20-Feb-98,Chromium
5109,0,Chai,20-Feb-98,Lead
5110,0,Chai,20-Feb-98,Cadmium
5111,0,Chai,20-Feb-98,Mercury
5112,5,Chai,20-Feb-98,Nickel
5113,0,Chai,20-Feb-98,Arsenic
5114,3.3,Chai,20-Feb-98,Biochemical Oxygen
5115,9.1,Chai,20-Feb-98,Chemical Oxygen Demand (Cr)
5116,10.07,Chai,20-Feb-98,Chemical Oxygen Demand (Mn)
5117,0,Chai,20-Feb-98,AOX
5119,0,Chai,20-Feb-98,Atrazine
5122,0,Chai,20-Feb-98,Macrozoobenthos
5124,0,Chai,20-Feb-98,Total coliforms
5125,0,Chai,20-Feb-98,Fecal coliforms
5581,0.1,Chai,20-Feb-98,Total phosphorus
5586,44.79,Chai,20-Feb-98,Chlorides
5587,60.1,Chai,20-Feb-98,Sulphates
5588,0.1,Chai,20-Feb-98,Iron
5589,0,Chai,20-Feb-98,Manganese
5590,0,Chai,20-Feb-98,Zinc
5591,0,Chai,20-Feb-98,Copper
5592,0,Chai,20-Feb-98,Chromium
5593,0,Chai,20-Feb-98,Lead
5594,0,Chai,20-Feb-98,Cadmium
5595,0,Chai,20-Feb-98,Mercury
5596,0,Chai,20-Feb-98,Nickel
5597,0,Chai,20-Feb-98,Arsenic
5598,3.5,Chai,20-Feb-98,Biochemical Oxygen
5599,9.1,Chai,20-Feb-98,Chemical Oxygen Demand (Cr)
5600,10.07,Chai,20-Feb-98,Chemical Oxygen Demand (Mn)
5601,0,Chai,20-Feb-98,AOX
5603,0,Chai,20-Feb-98,Atrazine
5606,0,Chai,20-Feb-98,Macrozoobenthos
5608,0,Chai,20-Feb-98,Total coliforms
5609,0,Chai,20-Feb-98,Fecal coliforms
6059,0.12,Chai,20-Feb-98,Total phosphorus
6064,41.31,Chai,20-Feb-98,Chlorides
6065,61.3,Chai,20-Feb-98,Sulphates
6066,0.11,Chai,20-Feb-98,Iron
6067,0,Chai,20-Feb-98,Manganese
6068,0,Chai,20-Feb-98,Zinc
6069,0,Chai,20-Feb-98,Copper
6070,0,Chai,20-Feb-98,Chromium
6071,0,Chai,20-Feb-98,Lead
6072,0,Chai,20-Feb-98,Cadmium
6073,0,Chai,20-Feb-98,Mercury
6074,0,Chai,20-Feb-98,Nickel
6075,0,Chai,20-Feb-98,Arsenic
6076,2.1,Chai,20-Feb-98,Biochemical Oxygen
6077,8.9,Chai,20-Feb-98,Chemical Oxygen Demand (Cr)
6078,9.4,Chai,20-Feb-98,Chemical Oxygen Demand (Mn)
6079,0,Chai,20-Feb-98,AOX
6081,0,Chai,20-Feb-98,Atrazine
6084,0,Chai,20-Feb-98,Macrozoobenthos
6086,0,Chai,20-Feb-98,Total coliforms
6087,0,Chai,20-Feb-98,Fecal coliforms
8341,0.1,Kannika,24-Feb-98,Total phosphorus
8346,28.1,Kannika,24-Feb-98,Chlorides
8347,34.5,Kannika,24-Feb-98,Sulphates
8348,0.8,Kannika,24-Feb-98,Iron
8349,0,Kannika,24-Feb-98,Manganese
8350,0,Kannika,24-Feb-98,Zinc
8351,0,Kannika,24-Feb-98,Copper
8352,6,Kannika,24-Feb-98,Chromium
8353,0,Kannika,24-Feb-98,Lead
8354,0,Kannika,24-Feb-98,Cadmium
8355,0,Kannika,24-Feb-98,Mercury
8356,0,Kannika,24-Feb-98,Nickel
8357,0,Kannika,24-Feb-98,Arsenic
8358,2.5,Kannika,24-Feb-98,Biochemical Oxygen
8359,11.2,Kannika,24-Feb-98,Chemical Oxygen Demand (Cr)
8360,3.7,Kannika,24-Feb-98,Chemical Oxygen Demand (Mn)
8361,0,Kannika,24-Feb-98,AOX
8363,0,Kannika,24-Feb-98,Atrazine
8366,0,Kannika,24-Feb-98,Macrozoobenthos
8368,0,Kannika,24-Feb-98,Total coliforms
8369,0,Kannika,24-Feb-98,Fecal coliforms
8822,0.1,Kannika,24-Feb-98,Total phosphorus
8827,28.4,Kannika,24-Feb-98,Chlorides
8828,32.5,Kannika,24-Feb-98,Sulphates
8829,0.08,Kannika,24-Feb-98,Iron
8830,0,Kannika,24-Feb-98,Manganese
8831,0,Kannika,24-Feb-98,Zinc
8832,0,Kannika,24-Feb-98,Copper
8833,6,Kannika,24-Feb-98,Chromium
8834,0,Kannika,24-Feb-98,Lead
8835,0,Kannika,24-Feb-98,Cadmium
8836,0,Kannika,24-Feb-98,Mercury
8837,0,Kannika,24-Feb-98,Nickel
8838,0,Kannika,24-Feb-98,Arsenic
8839,2.8,Kannika,24-Feb-98,Biochemical Oxygen
8840,10.9,Kannika,24-Feb-98,Chemical Oxygen Demand (Cr)
8841,3.7,Kannika,24-Feb-98,Chemical Oxygen Demand (Mn)
8842,0,Kannika,24-Feb-98,AOX
8844,0,Kannika,24-Feb-98,Atrazine
8847,0,Kannika,24-Feb-98,Macrozoobenthos
8849,0,Kannika,24-Feb-98,Total coliforms
8850,0,Kannika,24-Feb-98,Fecal coliforms
9305,0.11,Kannika,24-Feb-98,Total phosphorus
9310,28.1,Kannika,24-Feb-98,Chlorides
9311,35.5,Kannika,24-Feb-98,Sulphates
9312,0.07,Kannika,24-Feb-98,Iron
9313,0,Kannika,24-Feb-98,Manganese
9314,0,Kannika,24-Feb-98,Zinc
9315,0,Kannika,24-Feb-98,Copper
9316,6,Kannika,24-Feb-98,Chromium
9317,0,Kannika,24-Feb-98,Lead
9318,0,Kannika,24-Feb-98,Cadmium
9319,0,Kannika,24-Feb-98,Mercury
9320,0,Kannika,24-Feb-98,Nickel
9321,0,Kannika,24-Feb-98,Arsenic
9322,2.8,Kannika,24-Feb-98,Biochemical Oxygen
9323,11.1,Kannika,24-Feb-98,Chemical Oxygen Demand (Cr)
9324,4,Kannika,24-Feb-98,Chemical Oxygen Demand (Mn)
9325,0,Kannika,24-Feb-98,AOX
9327,0,Kannika,24-Feb-98,Atrazine
9330,0,Kannika,24-Feb-98,Macrozoobenthos
9332,0,Kannika,24-Feb-98,Total coliforms
9333,0,Kannika,24-Feb-98,Fecal coliforms
2311,0.08,Boonsri,12-Mar-98,Total phosphorus
2316,27.7,Boonsri,12-Mar-98,Chlorides
2317,46.5,Boonsri,12-Mar-98,Sulphates
2318,4.57,Boonsri,12-Mar-98,Iron
2319,0.01,Boonsri,12-Mar-98,Manganese
2320,15,Boonsri,12-Mar-98,Zinc
2321,9,Boonsri,12-Mar-98,Copper
2322,6,Boonsri,12-Mar-98,Chromium
2323,0,Boonsri,12-Mar-98,Lead
2324,0,Boonsri,12-Mar-98,Cadmium
2325,0,Boonsri,12-Mar-98,Mercury
2326,3,Boonsri,12-Mar-98,Nickel
2327,0,Boonsri,12-Mar-98,Arsenic
2328,3.3,Boonsri,12-Mar-98,Biochemical Oxygen
2329,13.1,Boonsri,12-Mar-98,Chemical Oxygen Demand (Cr)
2330,4.9,Boonsri,12-Mar-98,Chemical Oxygen Demand (Mn)
2331,0,Boonsri,12-Mar-98,AOX
2333,0,Boonsri,12-Mar-98,Atrazine
2336,2.02,Boonsri,12-Mar-98,Macrozoobenthos
2338,1.4,Boonsri,12-Mar-98,Total coliforms
2339,0,Boonsri,12-Mar-98,Fecal coliforms
5136,0.15,Chai,19-Mar-98,Total phosphorus
5141,42.08,Chai,19-Mar-98,Chlorides
5142,62.5,Chai,19-Mar-98,Sulphates
5143,0.11,Chai,19-Mar-98,Iron
5144,0,Chai,19-Mar-98,Manganese
5145,0,Chai,19-Mar-98,Zinc
5146,0,Chai,19-Mar-98,Copper
5147,0,Chai,19-Mar-98,Chromium
5148,0,Chai,19-Mar-98,Lead
5149,0,Chai,19-Mar-98,Cadmium
5150,0,Chai,19-Mar-98,Mercury
5151,5,Chai,19-Mar-98,Nickel
5152,0,Chai,19-Mar-98,Arsenic
5153,3.2,Chai,19-Mar-98,Biochemical Oxygen
5154,10.1,Chai,19-Mar-98,Chemical Oxygen Demand (Cr)
5155,8.05,Chai,19-Mar-98,Chemical Oxygen Demand (Mn)
5156,0,Chai,19-Mar-98,AOX
5158,0,Chai,19-Mar-98,Atrazine
5161,2.01,Chai,19-Mar-98,Macrozoobenthos
5163,0,Chai,19-Mar-98,Total coliforms
5164,0,Chai,19-Mar-98,Fecal coliforms
5620,0.13,Chai,19-Mar-98,Total phosphorus
5625,37.53,Chai,19-Mar-98,Chlorides
5626,59.2,Chai,19-Mar-98,Sulphates
5627,0.09,Chai,19-Mar-98,Iron
5628,0,Chai,19-Mar-98,Manganese
5629,0,Chai,19-Mar-98,Zinc
5630,0,Chai,19-Mar-98,Copper
5631,0,Chai,19-Mar-98,Chromium
5632,0,Chai,19-Mar-98,Lead
5633,0,Chai,19-Mar-98,Cadmium
5634,0,Chai,19-Mar-98,Mercury
5635,0,Chai,19-Mar-98,Nickel
5636,0,Chai,19-Mar-98,Arsenic
5637,3.1,Chai,19-Mar-98,Biochemical Oxygen
5638,9.6,Chai,19-Mar-98,Chemical Oxygen Demand (Cr)
5639,10.07,Chai,19-Mar-98,Chemical Oxygen Demand (Mn)
5640,0,Chai,19-Mar-98,AOX
5642,0,Chai,19-Mar-98,Atrazine
5645,0,Chai,19-Mar-98,Macrozoobenthos
5647,0,Chai,19-Mar-98,Total coliforms
5648,0,Chai,19-Mar-98,Fecal coliforms
6098,0.13,Chai,19-Mar-98,Total phosphorus
6103,39.8,Chai,19-Mar-98,Chlorides
6104,56.4,Chai,19-Mar-98,Sulphates
6105,0.11,Chai,19-Mar-98,Iron
6106,0,Chai,19-Mar-98,Manganese
6107,0,Chai,19-Mar-98,Zinc
6108,0,Chai,19-Mar-98,Copper
6109,0,Chai,19-Mar-98,Chromium
6110,0,Chai,19-Mar-98,Lead
6111,0,Chai,19-Mar-98,Cadmium
6112,0,Chai,19-Mar-98,Mercury
6113,0,Chai,19-Mar-98,Nickel
6114,0,Chai,19-Mar-98,Arsenic
6115,2.3,Chai,19-Mar-98,Biochemical Oxygen
6116,9.2,Chai,19-Mar-98,Chemical Oxygen Demand (Cr)
6117,10.07,Chai,19-Mar-98,Chemical Oxygen Demand (Mn)
6118,0,Chai,19-Mar-98,AOX
6120,0,Chai,19-Mar-98,Atrazine
6123,0,Chai,19-Mar-98,Macrozoobenthos
6125,0,Chai,19-Mar-98,Total coliforms
6126,0,Chai,19-Mar-98,Fecal coliforms
8381,0.09,Kannika,21-Mar-98,Total phosphorus
8386,34.39,Kannika,21-Mar-98,Chlorides
8387,46.11,Kannika,21-Mar-98,Sulphates
8388,0.1,Kannika,21-Mar-98,Iron
8389,0.1,Kannika,21-Mar-98,Manganese
8390,0,Kannika,21-Mar-98,Zinc
8391,0,Kannika,21-Mar-98,Copper
8392,10,Kannika,21-Mar-98,Chromium
8393,10,Kannika,21-Mar-98,Lead
8394,0,Kannika,21-Mar-98,Cadmium
8395,0,Kannika,21-Mar-98,Mercury
8396,30,Kannika,21-Mar-98,Nickel
8397,0,Kannika,21-Mar-98,Arsenic
8398,2.8,Kannika,21-Mar-98,Biochemical Oxygen
8399,10.8,Kannika,21-Mar-98,Chemical Oxygen Demand (Cr)
8400,4,Kannika,21-Mar-98,Chemical Oxygen Demand (Mn)
8401,0,Kannika,21-Mar-98,AOX
8403,0,Kannika,21-Mar-98,Atrazine
8406,0,Kannika,21-Mar-98,Macrozoobenthos
8408,0,Kannika,21-Mar-98,Total coliforms
8409,0,Kannika,21-Mar-98,Fecal coliforms
8862,0.11,Kannika,21-Mar-98,Total phosphorus
8867,34.7,Kannika,21-Mar-98,Chlorides
8868,46.6,Kannika,21-Mar-98,Sulphates
8869,0.1,Kannika,21-Mar-98,Iron
8870,0.08,Kannika,21-Mar-98,Manganese
8871,0,Kannika,21-Mar-98,Zinc
8872,0,Kannika,21-Mar-98,Copper
8873,10,Kannika,21-Mar-98,Chromium
8874,10,Kannika,21-Mar-98,Lead
8875,0,Kannika,21-Mar-98,Cadmium
8876,0,Kannika,21-Mar-98,Mercury
8877,30,Kannika,21-Mar-98,Nickel
8878,0,Kannika,21-Mar-98,Arsenic
8879,2,Kannika,21-Mar-98,Biochemical Oxygen
8880,11.7,Kannika,21-Mar-98,Chemical Oxygen Demand (Cr)
8881,3.3,Kannika,21-Mar-98,Chemical Oxygen Demand (Mn)
8882,0,Kannika,21-Mar-98,AOX
8884,0,Kannika,21-Mar-98,Atrazine
8887,0,Kannika,21-Mar-98,Macrozoobenthos
8889,0,Kannika,21-Mar-98,Total coliforms
8890,0,Kannika,21-Mar-98,Fecal coliforms
9345,0.1,Kannika,21-Mar-98,Total phosphorus
9350,34,Kannika,21-Mar-98,Chlorides
9351,45.6,Kannika,21-Mar-98,Sulphates
9352,0.1,Kannika,21-Mar-98,Iron
9353,0,Kannika,21-Mar-98,Manganese
9354,0,Kannika,21-Mar-98,Zinc
9355,0,Kannika,21-Mar-98,Copper
9356,10,Kannika,21-Mar-98,Chromium
9357,10,Kannika,21-Mar-98,Lead
9358,0,Kannika,21-Mar-98,Cadmium
9359,0,Kannika,21-Mar-98,Mercury
9360,30,Kannika,21-Mar-98,Nickel
9361,0,Kannika,21-Mar-98,Arsenic
9362,3.1,Kannika,21-Mar-98,Biochemical Oxygen
9363,11.2,Kannika,21-Mar-98,Chemical Oxygen Demand (Cr)
9364,3.8,Kannika,21-Mar-98,Chemical Oxygen Demand (Mn)
9365,0,Kannika,21-Mar-98,AOX
9367,0,Kannika,21-Mar-98,Atrazine
9370,0,Kannika,21-Mar-98,Macrozoobenthos
9372,0,Kannika,21-Mar-98,Total coliforms
9373,0,Kannika,21-Mar-98,Fecal coliforms
2351,0.09,Boonsri,11-Apr-98,Total phosphorus
2356,22,Boonsri,11-Apr-98,Chlorides
2357,48,Boonsri,11-Apr-98,Sulphates
2358,0.85,Boonsri,11-Apr-98,Iron
2359,0.01,Boonsri,11-Apr-98,Manganese
2360,20,Boonsri,11-Apr-98,Zinc
2361,35,Boonsri,11-Apr-98,Copper
2362,15,Boonsri,11-Apr-98,Chromium
2363,20,Boonsri,11-Apr-98,Lead
2364,0.31,Boonsri,11-Apr-98,Cadmium
2365,0,Boonsri,11-Apr-98,Mercury
2366,1,Boonsri,11-Apr-98,Nickel
2367,0,Boonsri,11-Apr-98,Arsenic
2368,1.8,Boonsri,11-Apr-98,Biochemical Oxygen
2369,10.8,Boonsri,11-Apr-98,Chemical Oxygen Demand (Cr)
2370,4,Boonsri,11-Apr-98,Chemical Oxygen Demand (Mn)
2371,0,Boonsri,11-Apr-98,AOX
2373,0,Boonsri,11-Apr-98,Atrazine
2378,2.09,Boonsri,11-Apr-98,Macrozoobenthos
2380,0,Boonsri,11-Apr-98,Total coliforms
2381,0,Boonsri,11-Apr-98,Fecal coliforms
2714,0.08,Boonsri,11-Apr-98,Total phosphorus
2719,21,Boonsri,11-Apr-98,Chlorides
2720,47,Boonsri,11-Apr-98,Sulphates
2721,1.24,Boonsri,11-Apr-98,Iron
2722,0.01,Boonsri,11-Apr-98,Manganese
2723,23,Boonsri,11-Apr-98,Zinc
2724,12,Boonsri,11-Apr-98,Copper
2725,28,Boonsri,11-Apr-98,Chromium
2726,35,Boonsri,11-Apr-98,Lead
2727,0.3,Boonsri,11-Apr-98,Cadmium
2728,0,Boonsri,11-Apr-98,Mercury
2729,8,Boonsri,11-Apr-98,Nickel
2730,0,Boonsri,11-Apr-98,Arsenic
2731,1.7,Boonsri,11-Apr-98,Biochemical Oxygen
2732,9.9,Boonsri,11-Apr-98,Chemical Oxygen Demand (Cr)
2733,3.9,Boonsri,11-Apr-98,Chemical Oxygen Demand (Mn)
2734,0,Boonsri,11-Apr-98,AOX
2736,0,Boonsri,11-Apr-98,Atrazine
2740,0,Boonsri,11-Apr-98,Macrozoobenthos
2742,0,Boonsri,11-Apr-98,Total coliforms
2743,0,Boonsri,11-Apr-98,Fecal coliforms
4815,0.48,Kohsoom,16-Apr-98,Total phosphorus
4820,75.1,Kohsoom,16-Apr-98,Chlorides
4821,69,Kohsoom,16-Apr-98,Sulphates
4822,0.01,Kohsoom,16-Apr-98,Iron
4823,0.004,Kohsoom,16-Apr-98,Manganese
4824,44,Kohsoom,16-Apr-98,Zinc
4825,24,Kohsoom,16-Apr-98,Copper
4826,4,Kohsoom,16-Apr-98,Chromium
4827,90,Kohsoom,16-Apr-98,Lead
4828,2.76,Kohsoom,16-Apr-98,Cadmium
4829,0,Kohsoom,16-Apr-98,Mercury
4830,25,Kohsoom,16-Apr-98,Nickel
4831,0,Kohsoom,16-Apr-98,Arsenic
4832,32.4,Kohsoom,16-Apr-98,Biochemical Oxygen
4833,0,Kohsoom,16-Apr-98,Chemical Oxygen Demand (Cr)
4834,11.2,Kohsoom,16-Apr-98,Chemical Oxygen Demand (Mn)
4835,0,Kohsoom,16-Apr-98,AOX
4837,0,Kohsoom,16-Apr-98,Atrazine
4842,0,Kohsoom,16-Apr-98,Macrozoobenthos
4844,0,Kohsoom,16-Apr-98,Total coliforms
4845,0,Kohsoom,16-Apr-98,Fecal coliforms
5175,0.09,Chai,17-Apr-98,Total phosphorus
5180,22,Chai,17-Apr-98,Chlorides
5181,51,Chai,17-Apr-98,Sulphates
5182,0.74,Chai,17-Apr-98,Iron
5183,0.05,Chai,17-Apr-98,Manganese
5184,52,Chai,17-Apr-98,Zinc
5185,44,Chai,17-Apr-98,Copper
5186,18,Chai,17-Apr-98,Chromium
5187,30,Chai,17-Apr-98,Lead
5188,0.67,Chai,17-Apr-98,Cadmium
5189,0,Chai,17-Apr-98,Mercury
5190,5,Chai,17-Apr-98,Nickel
5191,0,Chai,17-Apr-98,Arsenic
5192,2.4,Chai,17-Apr-98,Biochemical Oxygen
5193,13.7,Chai,17-Apr-98,Chemical Oxygen Demand (Cr)
5194,4.1,Chai,17-Apr-98,Chemical Oxygen Demand (Mn)
5195,0,Chai,17-Apr-98,AOX
5197,0,Chai,17-Apr-98,Atrazine
5202,1.95,Chai,17-Apr-98,Macrozoobenthos
5204,0.92,Chai,17-Apr-98,Total coliforms
5205,0.02,Chai,17-Apr-98,Fecal coliforms
5659,0.09,Chai,17-Apr-98,Total phosphorus
5664,22,Chai,17-Apr-98,Chlorides
5665,50,Chai,17-Apr-98,Sulphates
5666,0.75,Chai,17-Apr-98,Iron
5667,0.05,Chai,17-Apr-98,Manganese
5668,49,Chai,17-Apr-98,Zinc
5669,37,Chai,17-Apr-98,Copper
5670,10,Chai,17-Apr-98,Chromium
5671,41,Chai,17-Apr-98,Lead
5672,0.59,Chai,17-Apr-98,Cadmium
5673,0,Chai,17-Apr-98,Mercury
5674,24,Chai,17-Apr-98,Nickel
5675,0,Chai,17-Apr-98,Arsenic
5676,2,Chai,17-Apr-98,Biochemical Oxygen
5677,12.3,Chai,17-Apr-98,Chemical Oxygen Demand (Cr)
5678,4,Chai,17-Apr-98,Chemical Oxygen Demand (Mn)
5679,0,Chai,17-Apr-98,AOX
